,precision,recall,f1-score,support
activate_my_card,0.9736842105263158,0.925,0.9487179487179489,40.0
age_limit,1.0,1.0,1.0,40.0
apple_pay_or_google_pay,0.975609756097561,1.0,0.9876543209876543,40.0
atm_support,0.975,0.975,0.975,40.0
automatic_top_up,1.0,0.975,0.9873417721518987,40.0
balance_not_updated_after_bank_transfer,0.7441860465116279,0.8,0.7710843373493975,40.0
balance_not_updated_after_cheque_or_cash_deposit,1.0,0.95,0.9743589743589743,40.0
beneficiary_not_allowed,0.9069767441860465,0.975,0.9397590361445783,40.0
cancel_transfer,1.0,1.0,1.0,40.0
card_about_to_expire,1.0,0.975,0.9873417721518987,40.0
card_acceptance,0.925,0.925,0.925,40.0
card_arrival,0.875,0.875,0.875,40.0
card_delivery_estimate,0.8780487804878049,0.9,0.888888888888889,40.0
card_linking,0.975609756097561,1.0,0.9876543209876543,40.0
card_not_working,0.926829268292683,0.95,0.9382716049382716,40.0
card_payment_fee_charged,0.8604651162790697,0.925,0.891566265060241,40.0
card_payment_not_recognised,0.8333333333333334,0.75,0.7894736842105262,40.0
card_payment_wrong_exchange_rate,0.9024390243902439,0.925,0.9135802469135802,40.0
card_swallowed,1.0,0.95,0.9743589743589743,40.0
cash_withdrawal_charge,0.9512195121951219,0.975,0.9629629629629629,40.0
cash_withdrawal_not_recognised,0.8863636363636364,0.975,0.9285714285714285,40.0
change_pin,0.8333333333333334,1.0,0.9090909090909091,40.0
compromised_card,0.8611111111111112,0.775,0.8157894736842106,40.0
contactless_not_working,1.0,0.925,0.961038961038961,40.0
country_support,0.975609756097561,1.0,0.9876543209876543,40.0
declined_card_payment,0.8260869565217391,0.95,0.8837209302325583,40.0
declined_cash_withdrawal,0.8636363636363636,0.95,0.9047619047619048,40.0
declined_transfer,0.9411764705882353,0.8,0.8648648648648648,40.0
direct_debit_payment_not_recognised,0.8717948717948718,0.85,0.8607594936708861,40.0
disposable_card_limits,0.925,0.925,0.925,40.0
edit_personal_details,1.0,1.0,1.0,40.0
exchange_charge,0.9047619047619048,0.95,0.9268292682926829,40.0
exchange_rate,0.9024390243902439,0.925,0.9135802469135802,40.0
exchange_via_app,0.8571428571428571,0.9,0.8780487804878048,40.0
extra_charge_on_statement,0.925,0.925,0.925,40.0
failed_transfer,0.8809523809523809,0.925,0.9024390243902439,40.0
fiat_currency_support,0.8717948717948718,0.85,0.8607594936708861,40.0
get_disposable_virtual_card,0.918918918918919,0.85,0.8831168831168831,40.0
get_physical_card,0.9736842105263158,0.925,0.9487179487179489,40.0
getting_spare_card,0.9512195121951219,0.975,0.9629629629629629,40.0
getting_virtual_card,0.8636363636363636,0.95,0.9047619047619048,40.0
lost_or_stolen_card,0.8409090909090909,0.925,0.8809523809523809,40.0
lost_or_stolen_phone,1.0,0.975,0.9873417721518987,40.0
order_physical_card,0.8837209302325582,0.95,0.9156626506024096,40.0
passcode_forgotten,1.0,1.0,1.0,40.0
pending_card_payment,0.95,0.95,0.9500000000000001,40.0
pending_cash_withdrawal,1.0,0.85,0.9189189189189189,40.0
pending_top_up,0.8780487804878049,0.9,0.888888888888889,40.0
pending_transfer,0.8333333333333334,0.75,0.7894736842105262,40.0
pin_blocked,0.9166666666666666,0.825,0.8684210526315789,40.0
receiving_money,1.0,0.925,0.961038961038961,40.0
Refund_not_showing_up,0.9736842105263158,0.925,0.9487179487179489,40.0
request_refund,0.9047619047619048,0.95,0.9268292682926829,40.0
reverted_card_payment?,0.95,0.95,0.9500000000000001,40.0
supported_cards_and_currencies,0.926829268292683,0.95,0.9382716049382716,40.0
terminate_account,0.9523809523809523,1.0,0.975609756097561,40.0
top_up_by_bank_transfer_charge,0.875,0.875,0.875,40.0
top_up_by_card_charge,0.9487179487179487,0.925,0.9367088607594937,40.0
top_up_by_cash_or_cheque,0.9473684210526315,0.9,0.9230769230769231,40.0
top_up_failed,0.8857142857142857,0.775,0.8266666666666667,40.0
top_up_limits,0.9512195121951219,0.975,0.9629629629629629,40.0
top_up_reverted,0.8095238095238095,0.85,0.8292682926829269,40.0
topping_up_by_card,0.825,0.825,0.825,40.0
transaction_charged_twice,0.9090909090909091,1.0,0.9523809523809523,40.0
transfer_fee_charged,0.813953488372093,0.875,0.8433734939759036,40.0
transfer_into_account,0.9166666666666666,0.825,0.8684210526315789,40.0
transfer_not_received_by_recipient,0.8205128205128205,0.8,0.810126582278481,40.0
transfer_timing,0.9230769230769231,0.9,0.9113924050632911,40.0
unable_to_verify_identity,0.9512195121951219,0.975,0.9629629629629629,40.0
verify_my_identity,0.8717948717948718,0.85,0.8607594936708861,40.0
verify_source_of_funds,0.975609756097561,1.0,0.9876543209876543,40.0
verify_top_up,1.0,1.0,1.0,40.0
virtual_card_not_working,1.0,0.925,0.961038961038961,40.0
visa_or_mastercard,1.0,0.95,0.9743589743589743,40.0
why_verify_identity,0.8809523809523809,0.925,0.9024390243902439,40.0
wrong_amount_of_cash_received,0.972972972972973,0.9,0.935064935064935,40.0
wrong_exchange_rate_for_cash_withdrawal,0.9473684210526315,0.9,0.9230769230769231,40.0
accuracy,0.9201298701298701,0.9201298701298701,0.9201298701298701,0.9201298701298701
macro avg,0.9217293757109514,0.9201298701298702,0.9199655141022661,3080.0
weighted avg,0.9217293757109515,0.9201298701298701,0.9199655141022659,3080.0
